,datetime,description,icon
0,2022-11-07,Clearing in the afternoon with morning rain.,rain
1,2022-11-08,Clear conditions throughout the day.,clear-day
2,2022-11-09,Clear conditions throughout the day.,clear-day
3,2022-11-10,Clear conditions throughout the day.,clear-day
4,2022-11-11,Cloudy skies throughout the day with late afternoon rain.,rain
5,2022-11-12,Partly cloudy throughout the day with rain clearing later.,rain
6,2022-11-13,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
7,2022-11-14,Partly cloudy throughout the day.,partly-cloudy-day
