,datetime,tempmin,temp,tempmax
0,2023-06-19,14.4,16.7,18.0
1,2023-06-20,13.7,16.0,17.9
2,2023-06-21,13.8,16.4,18.4
3,2023-06-22,14.3,16.4,17.8
4,2023-06-23,16.7,19.0,21.7
5,2023-06-24,21.7,22.6,23.9
6,2023-06-25,20.6,23.3,26.3
7,2023-06-26,20.2,22.7,25.4
