,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-10-17,15.7,10.5,13.2,15.7,10.5,13.2,10.8,85.8,6.433,100,29.17,rain,0,0,28.4,20.9,94.5,1007.4,93.8,14.4,30.0,2.7,2,10,2022-10-17T06:59:24,2022-10-17T17:59:05,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2022-10-18,19.3,12.0,16.1,19.3,12.0,16.1,12.1,78.7,4.806,100,33.33,rain,0,0,40.7,27.6,199.2,1002.5,74.0,14.9,52.5,4.5,2,10,2022-10-18T07:00:35,2022-10-18T17:57:31,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
2,"Boston, MA, United States",2022-10-19,13.9,7.0,10.4,13.9,4.4,9.1,0.8,52.8,0.0,0,0.0,,0,0,42.5,29.2,240.2,1007.8,17.1,16.0,116.1,10.1,5,10,2022-10-19T07:01:46,2022-10-19T17:55:57,0.81,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
3,"Boston, MA, United States",2022-10-20,14.4,5.5,9.9,14.4,1.5,8.1,0.1,52.4,0.0,0,0.0,,0,0,51.6,38.4,227.0,1013.8,17.1,16.0,114.0,9.8,5,10,2022-10-20T07:02:57,2022-10-20T17:54:25,0.85,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
4,"Boston, MA, United States",2022-10-21,16.2,7.6,11.7,16.2,4.9,11.0,3.8,60.1,0.0,0,0.0,,0,0,27.4,21.9,191.3,1019.7,16.0,16.0,109.2,9.6,4,10,2022-10-21T07:04:08,2022-10-21T17:52:54,0.88,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
5,"Boston, MA, United States",2022-10-22,20.0,8.1,13.7,20.0,6.6,13.4,7.1,67.9,0.0,0,0.0,,0,0,24.1,20.5,205.2,1024.5,34.8,15.9,110.0,9.5,4,10,2022-10-22T07:05:20,2022-10-22T17:51:24,0.91,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
6,"Boston, MA, United States",2022-10-23,14.4,10.5,12.3,14.4,10.5,12.3,8.9,80.0,1.965,100,29.17,rain,0,0,34.9,23.6,23.4,1027.0,97.0,15.9,36.2,3.1,2,10,2022-10-23T07:06:32,2022-10-23T17:49:55,0.94,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
7,"Boston, MA, United States",2022-10-24,15.6,11.2,13.4,15.6,11.2,13.4,12.7,95.6,2.575,100,33.33,rain,0,0,37.4,18.1,10.4,1023.9,100.0,6.0,17.3,1.4,1,10,2022-10-24T07:07:45,2022-10-24T17:48:27,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
