,datetime,description,icon
0,2022-10-17,Cloudy skies throughout the day with rain.,rain
1,2022-10-18,Partly cloudy throughout the day with rain clearing later.,rain
2,2022-10-19,Clear conditions throughout the day.,clear-day
3,2022-10-20,Clear conditions throughout the day.,clear-day
4,2022-10-21,Clear conditions throughout the day.,clear-day
5,2022-10-22,Becoming cloudy in the afternoon.,partly-cloudy-day
6,2022-10-23,Cloudy skies throughout the day with rain.,rain
7,2022-10-24,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
