,datetime,tempmin,temp,tempmax
0,2022-11-14,2.1,4.4,6.7
1,2022-11-15,0.4,3.3,6.1
2,2022-11-16,2.8,8.1,13.8
3,2022-11-17,2.8,5.0,7.9
4,2022-11-18,0.6,3.6,7.2
5,2022-11-19,-0.2,2.7,6.2
6,2022-11-20,-1.6,1.0,3.4
7,2022-11-21,-3.5,0.4,3.4
