,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-11-14,6.7,2.1,4.4,3.5,-2.2,0.5,-6.6,45.5,0.0,0,0.0,,0,0,51.1,29.3,302.8,1023.1,22.5,16.0,79.1,6.8,4,10,2022-11-14T06:33:51,2022-11-14T16:23:04,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
1,"Boston, MA, United States",2022-11-15,6.1,0.4,3.3,5.0,-3.4,0.8,-5.9,51.2,0.032,100,8.33,rain,0,0,22.0,14.5,338.8,1030.7,55.9,16.0,80.9,6.9,4,10,2022-11-15T06:35:06,2022-11-15T16:22:10,0.73,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
2,"Boston, MA, United States",2022-11-16,13.8,2.8,8.1,13.8,-1.1,5.3,5.8,85.5,19.427,100,58.33,rain,0,0,55.1,38.1,348.8,1011.8,82.2,10.5,23.0,1.9,1,10,2022-11-16T06:36:20,2022-11-16T16:21:18,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
3,"Boston, MA, United States",2022-11-17,7.9,2.8,5.0,4.4,-2.5,0.7,-2.6,59.4,0.005,100,4.17,rain,0,0,55.2,40.0,265.4,1010.1,43.2,16.0,58.2,5.1,5,10,2022-11-17T06:37:35,2022-11-17T16:20:28,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
4,"Boston, MA, United States",2022-11-18,7.2,0.6,3.6,3.7,-4.2,-0.5,-6.6,48.3,0.0,0,0.0,,0,0,44.6,25.8,242.4,1016.3,44.1,16.0,83.5,7.0,4,10,2022-11-18T06:38:48,2022-11-18T16:19:40,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
5,"Boston, MA, United States",2022-11-19,6.2,-0.2,2.7,3.3,-4.4,-1.4,-6.8,50.3,0.0,0,0.0,,0,0,41.8,27.2,228.7,1019.7,16.0,16.0,80.1,7.0,4,10,2022-11-19T06:40:02,2022-11-19T16:18:54,0.86,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
6,"Boston, MA, United States",2022-11-20,3.4,-1.6,1.0,-2.0,-8.8,-4.4,-11.9,39.9,0.0,0,0.0,,0,0,61.0,42.3,272.5,1015.9,40.0,16.0,71.9,6.3,4,10,2022-11-20T06:41:15,2022-11-20T16:18:10,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
7,"Boston, MA, United States",2022-11-21,3.4,-3.5,0.4,-1.3,-10.2,-5.0,-10.5,44.2,0.0,0,0.0,,0,0,61.2,36.4,239.4,1026.0,39.1,16.0,79.7,6.7,3,10,2022-11-21T06:42:27,2022-11-21T16:17:28,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
