,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-06-05,16.1,10.6,12.9,16.1,10.6,12.9,10.1,83.2,2.133,100,45.83,rain,0,0,40.7,24.9,359.8,1010.1,96.6,15.0,98.3,8.6,4,10,2023-06-05T05:08:33,2023-06-05T20:17:20,0.55,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2023-06-06,23.9,13.7,18.0,23.9,13.7,18.0,8.9,57.4,0.0,0,0.0,,0,0,37.1,27.2,302.1,1001.8,86.7,13.8,195.1,16.9,7,10,2023-06-06T05:08:14,2023-06-06T20:17:59,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2023-06-07,18.4,13.3,16.3,18.4,13.3,16.3,7.7,57.2,0.0,0,0.0,,0,0,47.9,27.6,295.2,1000.7,86.3,15.7,106.9,9.2,3,10,2023-06-07T05:07:57,2023-06-07T20:18:38,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2023-06-08,18.4,13.2,15.2,18.4,13.2,15.2,9.2,68.2,0.306,100,8.33,rain,0,0,16.6,16.5,286.4,1005.0,94.9,15.7,124.3,10.6,5,10,2023-06-08T05:07:41,2023-06-08T20:19:15,0.66,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2023-06-09,16.8,12.1,14.4,16.8,12.1,14.4,11.3,81.9,1.277,100,20.83,rain,0,0,20.5,20.1,61.2,1006.5,80.3,15.4,128.2,10.9,6,10,2023-06-09T05:07:28,2023-06-09T20:19:50,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2023-06-10,18.4,12.7,14.9,18.4,12.7,14.9,12.4,85.5,8.556,100,29.17,rain,0,0,33.5,18.4,112.5,1007.4,76.5,11.2,182.4,15.8,9,10,2023-06-10T05:07:17,2023-06-10T20:20:24,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2023-06-11,23.7,12.7,19.1,23.7,12.7,19.1,12.4,66.8,0.0,0,0.0,,0,0,24.1,28.9,145.3,1011.7,50.0,15.9,261.1,22.6,8,10,2023-06-11T05:07:08,2023-06-11T20:20:56,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2023-06-12,26.7,16.8,20.5,27.2,16.8,20.5,15.7,75.2,0.154,100,8.33,rain,0,0,47.9,25.6,154.3,1010.4,89.6,13.5,239.6,20.7,9,10,2023-06-12T05:07:02,2023-06-12T20:21:26,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
