,datetime,description,icon
0,2023-06-05,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
1,2023-06-06,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-06-07,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-06-08,Cloudy skies throughout the day with rain.,rain
4,2023-06-09,Partly cloudy throughout the day with rain.,rain
5,2023-06-10,Partly cloudy throughout the day with rain.,rain
6,2023-06-11,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-06-12,Partly cloudy throughout the day with late afternoon rain.,rain
