,datetime,tempmin,temp,tempmax
0,2022-10-24,11.2,13.4,15.6
1,2022-10-25,13.9,15.0,16.2
2,2022-10-26,15.0,15.8,18.4
3,2022-10-27,9.9,16.4,19.4
4,2022-10-28,5.6,8.2,11.1
5,2022-10-29,4.7,8.8,12.3
6,2022-10-30,4.8,10.1,16.8
7,2022-10-31,7.1,13.6,20.0
