,datetime,description,icon
0,2022-10-24,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
1,2022-10-25,Cloudy skies throughout the day with rain.,rain
2,2022-10-26,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
3,2022-10-27,Partly cloudy throughout the day.,partly-cloudy-day
4,2022-10-28,Partly cloudy throughout the day.,partly-cloudy-day
5,2022-10-29,Partly cloudy throughout the day.,partly-cloudy-day
6,2022-10-30,Clear conditions throughout the day.,clear-day
7,2022-10-31,Partly cloudy throughout the day.,partly-cloudy-day
