,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-10-24,15.6,11.2,13.4,15.6,11.2,13.4,12.7,95.6,2.575,100,33.33,rain,0,0,37.4,18.1,10.4,1023.9,100.0,6.0,17.3,1.4,1,10,2022-10-24T07:07:45,2022-10-24T17:48:27,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
1,"Boston, MA, United States",2022-10-25,16.2,13.9,15.0,16.2,13.9,15.0,15.0,99.7,1.421,100,20.83,rain,0,0,18.4,14.3,52.7,1021.3,100.0,0.4,38.6,3.3,2,10,2022-10-25T07:08:57,2022-10-25T17:47:00,0.0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
2,"Boston, MA, United States",2022-10-26,18.4,15.0,15.8,18.4,15.0,15.8,15.7,99.4,9.062,100,29.17,rain,0,0,16.6,14.5,62.1,1010.7,100.0,0.9,24.0,2.0,2,10,2022-10-26T07:10:10,2022-10-26T17:45:35,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
3,"Boston, MA, United States",2022-10-27,19.4,9.9,16.4,19.4,7.7,16.3,8.7,64.2,0.0,0,0.0,,0,0,45.4,31.4,302.4,1016.0,20.9,15.4,92.0,7.9,4,10,2022-10-27T07:11:24,2022-10-27T17:44:10,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
4,"Boston, MA, United States",2022-10-28,11.1,5.6,8.2,11.1,2.3,6.5,1.7,63.9,0.0,0,0.0,,0,0,36.7,20.3,19.1,1033.4,45.0,16.0,87.5,7.5,4,10,2022-10-28T07:12:37,2022-10-28T17:42:47,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
5,"Boston, MA, United States",2022-10-29,12.3,4.7,8.8,12.3,1.3,7.6,4.5,75.4,0.0,0,0.0,,0,0,17.6,16.0,14.5,1031.6,30.3,15.9,104.1,8.9,4,10,2022-10-29T07:13:51,2022-10-29T17:41:25,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,F2973,OXBM3"
6,"Boston, MA, United States",2022-10-30,16.8,4.8,10.1,16.8,3.6,9.9,4.5,69.8,0.0,0,0.0,,0,0,22.7,20.2,150.4,1024.0,18.9,15.9,103.9,8.9,4,10,2022-10-30T07:15:05,2022-10-30T17:40:05,0.19,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,C2439,OXBM3"
7,"Boston, MA, United States",2022-10-31,20.0,7.1,13.6,20.0,5.0,13.0,10.7,84.2,0.0,0,0.0,,0,0,33.5,27.5,211.0,1017.5,85.6,13.5,88.1,7.6,4,10,2022-10-31T07:16:20,2022-10-31T17:38:46,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
