,datetime,description,icon
0,2022-11-21,Becoming cloudy in the afternoon.,partly-cloudy-day
1,2022-11-22,Partly cloudy throughout the day.,partly-cloudy-day
2,2022-11-23,Partly cloudy throughout the day.,partly-cloudy-day
3,2022-11-24,Becoming cloudy in the afternoon.,partly-cloudy-day
4,2022-11-25,Partly cloudy throughout the day with afternoon rain.,rain
5,2022-11-26,Partly cloudy throughout the day.,partly-cloudy-day
6,2022-11-27,Partly cloudy throughout the day with rain.,rain
7,2022-11-28,Partly cloudy throughout the day with early morning rain.,rain
