,datetime,tempmin,temp,tempmax
0,2022-11-21,-3.5,0.4,3.4
1,2022-11-22,1.6,5.2,8.9
2,2022-11-23,2.7,6.7,10.0
3,2022-11-24,-0.2,4.0,8.4
4,2022-11-25,5.6,8.3,11.2
5,2022-11-26,3.8,7.6,11.7
6,2022-11-27,6.6,9.6,12.9
7,2022-11-28,3.8,9.9,13.9
