,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-11-21,3.4,-3.5,0.4,-1.3,-10.2,-5.0,-10.5,44.2,0.0,0,0.0,,0,0,61.2,36.4,239.4,1026.0,39.1,16.0,79.7,6.7,3,10,2022-11-21T06:42:27,2022-11-21T16:17:28,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
1,"Boston, MA, United States",2022-11-22,8.9,1.6,5.2,7.4,-2.9,1.9,-6.1,44.3,0.0,0,0.0,,0,0,61.2,27.2,230.8,1023.7,30.5,16.0,78.5,6.7,3,10,2022-11-22T06:43:39,2022-11-22T16:16:48,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
2,"Boston, MA, United States",2022-11-23,10.0,2.7,6.7,10.0,-0.6,4.1,-3.8,47.8,0.0,0,0.0,,0,0,33.5,23.7,296.2,1022.1,45.9,16.0,71.7,6.2,3,10,2022-11-23T06:44:51,2022-11-23T16:16:11,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
3,"Boston, MA, United States",2022-11-24,8.4,-0.2,4.0,6.0,-4.5,1.3,-2.4,64.2,0.0,0,0.0,,0,0,29.5,18.1,238.6,1027.5,38.6,16.0,74.9,6.4,3,10,2022-11-24T06:46:01,2022-11-24T16:15:36,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
4,"Boston, MA, United States",2022-11-25,11.2,5.6,8.3,11.2,1.5,6.3,4.5,77.5,0.295,100,4.17,rain,0,0,47.2,31.4,241.5,1010.7,77.4,15.5,15.3,1.2,1,10,2022-11-25T06:47:11,2022-11-25T16:15:03,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
5,"Boston, MA, United States",2022-11-26,11.7,3.8,7.6,11.7,-0.3,4.7,-3.4,46.4,0.0,0,0.0,,0,0,51.7,31.4,277.3,1010.8,25.0,16.0,74.2,6.4,3,10,2022-11-26T06:48:21,2022-11-26T16:14:32,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
6,"Boston, MA, United States",2022-11-27,12.9,6.6,9.6,12.9,2.9,8.2,1.7,60.7,14.295,100,33.33,rain,0,0,48.2,25.7,203.9,1005.3,77.5,14.2,38.0,3.0,2,10,2022-11-27T06:49:29,2022-11-27T16:14:04,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
7,"Boston, MA, United States",2022-11-28,13.9,3.8,9.9,13.9,-0.8,8.6,3.1,63.5,1.959,100,8.33,rain,0,0,55.4,33.2,293.3,1001.9,36.7,15.1,37.7,3.2,2,10,2022-11-28T06:50:36,2022-11-28T16:13:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,AV429"
