,datetime,description,icon
0,2022-10-31,Partly cloudy throughout the day.,partly-cloudy-day
1,2022-11-01,Partly cloudy throughout the day with morning rain.,rain
2,2022-11-02,Clear conditions throughout the day.,clear-day
3,2022-11-03,Clear conditions throughout the day.,clear-day
4,2022-11-04,Becoming cloudy in the afternoon.,partly-cloudy-day
5,2022-11-05,Partly cloudy throughout the day.,partly-cloudy-day
6,2022-11-06,Partly cloudy throughout the day.,partly-cloudy-day
7,2022-11-07,Clearing in the afternoon with morning rain.,rain
