,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-10-31,20.0,7.1,13.6,20.0,5.0,13.0,10.7,84.2,0.0,0,0.0,,0,0,33.5,27.5,211.0,1017.5,85.6,13.5,88.1,7.6,4,10,2022-10-31T07:16:20,2022-10-31T17:38:46,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
1,"Boston, MA, United States",2022-11-01,17.9,13.8,16.0,17.9,13.8,16.0,14.1,88.2,1.018,100,12.5,rain,0,0,32.4,17.9,241.6,1014.9,87.1,15.9,25.3,2.3,1,10,2022-11-01T07:17:34,2022-11-01T17:37:28,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
2,"Boston, MA, United States",2022-11-02,20.7,11.5,15.0,20.7,11.5,15.0,9.3,71.0,0.0,0,0.0,,0,0,35.3,20.1,334.7,1023.4,18.0,15.9,91.1,7.7,4,10,2022-11-02T07:18:49,2022-11-02T17:36:12,0.29,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
3,"Boston, MA, United States",2022-11-03,15.8,8.2,12.2,15.8,6.6,11.9,5.9,65.8,0.0,0,0.0,,0,0,24.5,21.8,181.8,1028.6,14.1,15.9,95.3,8.0,4,10,2022-11-03T07:20:04,2022-11-03T17:34:57,0.33,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
4,"Boston, MA, United States",2022-11-04,21.8,10.5,15.5,21.8,10.5,15.5,11.0,77.1,0.0,0,0.0,,0,0,45.5,34.9,223.3,1026.6,33.3,15.9,94.3,8.0,4,10,2022-11-04T07:21:19,2022-11-04T17:33:44,0.36,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
5,"Boston, MA, United States",2022-11-05,24.4,14.3,18.7,24.4,14.3,18.7,15.5,82.7,0.0,0,0.0,,0,0,42.8,27.6,206.4,1024.0,56.3,16.0,73.8,6.2,3,10,2022-11-05T07:22:34,2022-11-05T17:32:32,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
6,"Boston, MA, United States",2022-11-06,24.4,18.9,20.9,24.4,18.9,20.9,16.9,79.1,0.0,0,0.0,,0,0,52.7,38.4,208.2,1022.2,77.6,16.0,49.0,4.5,3,10,2022-11-06T06:23:49,2022-11-06T16:31:22,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
7,"Boston, MA, United States",2022-11-07,23.9,13.3,19.9,23.9,13.3,19.9,8.5,56.0,0.031,100,4.17,rain,0,0,54.4,36.7,251.6,1019.7,40.1,15.9,80.0,7.0,4,10,2022-11-07T06:25:04,2022-11-07T16:30:14,0.47,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
