,datetime,tempmin,temp,tempmax
0,2022-10-31,7.1,13.6,20.0
1,2022-11-01,13.8,16.0,17.9
2,2022-11-02,11.5,15.0,20.7
3,2022-11-03,8.2,12.2,15.8
4,2022-11-04,10.5,15.5,21.8
5,2022-11-05,14.3,18.7,24.4
6,2022-11-06,18.9,20.9,24.4
7,2022-11-07,13.3,19.9,23.9
